Timestamp, Time Taken (ms)
13/10/2024 2:17:30 PM, 9.589
13/10/2024 2:17:31 PM, 6.7026
13/10/2024 2:17:31 PM, 8.3984
13/10/2024 2:17:31 PM, 7.5775
13/10/2024 2:17:31 PM, 8.5271
13/10/2024 2:17:31 PM, 8.4099
13/10/2024 2:17:31 PM, 6.0379
13/10/2024 2:17:31 PM, 6.2222
13/10/2024 2:17:31 PM, 6.6157
13/10/2024 2:17:31 PM, 6.0817
13/10/2024 2:17:31 PM, 5.858
13/10/2024 2:17:31 PM, 11.9007
13/10/2024 2:17:31 PM, 5.7906
13/10/2024 2:17:31 PM, 6.005
13/10/2024 2:17:31 PM, 5.3847
13/10/2024 2:17:31 PM, 5.6468
13/10/2024 2:17:31 PM, 5.6198
13/10/2024 2:17:31 PM, 5.9931
13/10/2024 2:17:31 PM, 5.7247
13/10/2024 2:17:31 PM, 5.4698
13/10/2024 2:17:31 PM, 5.6616
13/10/2024 2:17:31 PM, 5.7276
13/10/2024 2:17:31 PM, 5.7856
13/10/2024 2:17:31 PM, 5.868
13/10/2024 2:17:31 PM, 6.0669
13/10/2024 2:17:31 PM, 5.9561
13/10/2024 2:17:31 PM, 5.4884
13/10/2024 2:17:31 PM, 5.4699
13/10/2024 2:17:31 PM, 5.6428
13/10/2024 2:17:31 PM, 10.1432
13/10/2024 2:17:31 PM, 5.3334
13/10/2024 2:17:31 PM, 5.8139
13/10/2024 2:17:31 PM, 6.0032
13/10/2024 2:17:32 PM, 9.8981
13/10/2024 2:17:32 PM, 5.5913
13/10/2024 2:17:32 PM, 5.4003
13/10/2024 2:17:32 PM, 5.5979
13/10/2024 2:17:32 PM, 11.463
13/10/2024 2:17:32 PM, 5.3885
13/10/2024 2:17:32 PM, 5.5099
13/10/2024 2:17:32 PM, 5.4324
13/10/2024 2:17:32 PM, 5.7069
13/10/2024 2:17:32 PM, 5.4614
13/10/2024 2:17:32 PM, 5.9618
13/10/2024 2:17:32 PM, 8.7963
13/10/2024 2:17:32 PM, 9.3152
13/10/2024 2:17:32 PM, 7.1619
13/10/2024 2:17:32 PM, 6.8461
13/10/2024 2:17:32 PM, 7.4224
13/10/2024 2:17:32 PM, 7.2434
13/10/2024 2:17:32 PM, 5.3854
13/10/2024 2:17:32 PM, 5.9136
13/10/2024 2:17:32 PM, 7.5284
13/10/2024 2:17:32 PM, 8.3679
13/10/2024 2:17:32 PM, 6.2771
13/10/2024 2:17:32 PM, 6.8481
13/10/2024 2:17:32 PM, 5.7054
13/10/2024 2:17:32 PM, 6.1765
13/10/2024 2:17:32 PM, 5.4996
13/10/2024 2:17:32 PM, 5.5286
13/10/2024 2:17:32 PM, 5.3048
13/10/2024 2:17:32 PM, 5.4411
13/10/2024 2:17:32 PM, 5.4342
13/10/2024 2:17:32 PM, 5.4529
13/10/2024 2:17:32 PM, 5.3346
13/10/2024 2:17:32 PM, 5.485
13/10/2024 2:17:32 PM, 5.5849
13/10/2024 2:17:32 PM, 5.4141
13/10/2024 2:17:32 PM, 5.4433
13/10/2024 2:17:32 PM, 5.4858
13/10/2024 2:17:32 PM, 5.4029
13/10/2024 2:17:32 PM, 5.4704
13/10/2024 2:17:32 PM, 5.705
13/10/2024 2:17:32 PM, 5.4793
13/10/2024 2:17:32 PM, 5.3267
13/10/2024 2:17:32 PM, 5.4343
13/10/2024 2:17:32 PM, 5.4121
13/10/2024 2:17:32 PM, 5.4334
13/10/2024 2:17:32 PM, 5.554
13/10/2024 2:17:32 PM, 5.6036
13/10/2024 2:17:32 PM, 5.573
13/10/2024 2:17:32 PM, 5.5024
13/10/2024 2:17:32 PM, 5.2486
13/10/2024 2:17:32 PM, 5.3289
13/10/2024 2:17:32 PM, 5.5004
13/10/2024 2:17:32 PM, 5.2945
