Timestamp, Time Taken to Partition(ms)
13/11/2024 6:34:31 PM, 22.5619
13/11/2024 6:34:31 PM, 10.4475
13/11/2024 6:34:31 PM, 10.357
13/11/2024 6:34:31 PM, 13.1017
13/11/2024 6:34:31 PM, 10.9179
13/11/2024 6:34:31 PM, 10.5796
13/11/2024 6:34:31 PM, 11.8184
13/11/2024 6:34:31 PM, 11.3073
13/11/2024 6:34:31 PM, 10.0483
13/11/2024 6:34:31 PM, 11.217
13/11/2024 6:34:31 PM, 10.9246
13/11/2024 6:34:31 PM, 10.895
13/11/2024 6:34:31 PM, 10.4183
13/11/2024 6:34:31 PM, 10.6819
13/11/2024 6:34:31 PM, 13.8595
13/11/2024 6:34:31 PM, 12.1391
13/11/2024 6:34:31 PM, 12.0941
13/11/2024 6:34:31 PM, 13.2215
13/11/2024 6:34:31 PM, 14.2378
13/11/2024 6:34:31 PM, 11.1014
13/11/2024 6:34:31 PM, 10.9603
13/11/2024 6:34:31 PM, 11.8959
13/11/2024 6:34:31 PM, 11.9302
13/11/2024 6:34:31 PM, 11.2326
13/11/2024 6:34:31 PM, 15.7149
13/11/2024 6:34:31 PM, 11.1259
13/11/2024 6:34:31 PM, 11.1112
13/11/2024 6:34:31 PM, 12.1469
13/11/2024 6:34:31 PM, 13.5219
13/11/2024 6:34:31 PM, 10.5896
13/11/2024 6:34:31 PM, 17.546
13/11/2024 6:34:31 PM, 16.6154
13/11/2024 6:34:31 PM, 12.8656
13/11/2024 6:34:31 PM, 10.4294
13/11/2024 6:34:31 PM, 15.7458
13/11/2024 6:34:32 PM, 12.4718
13/11/2024 6:34:32 PM, 11.5475
13/11/2024 6:34:32 PM, 12.1345
13/11/2024 6:34:32 PM, 11.4424
13/11/2024 6:34:32 PM, 12.1351
13/11/2024 6:34:32 PM, 11.9786
13/11/2024 6:34:32 PM, 13.5182
13/11/2024 6:34:32 PM, 12.051
13/11/2024 6:34:32 PM, 11.5525
13/11/2024 6:34:32 PM, 14.5391
13/11/2024 6:34:32 PM, 11.6041
13/11/2024 6:34:32 PM, 11.6841
13/11/2024 6:34:32 PM, 17.5794
13/11/2024 6:34:32 PM, 12.4991
13/11/2024 6:34:32 PM, 12.61
13/11/2024 6:34:32 PM, 13.5387
13/11/2024 6:34:32 PM, 14.53
13/11/2024 6:34:32 PM, 12.0794
13/11/2024 6:34:32 PM, 11.7567
13/11/2024 6:34:32 PM, 17.7869
13/11/2024 6:34:32 PM, 12.2031
13/11/2024 6:34:32 PM, 11.7174
13/11/2024 6:34:32 PM, 19.1908
13/11/2024 6:34:32 PM, 12.9434
13/11/2024 6:34:32 PM, 12.2674
13/11/2024 6:34:32 PM, 13.2976
13/11/2024 6:34:32 PM, 11.9747
13/11/2024 6:34:32 PM, 12.9476
13/11/2024 6:34:32 PM, 13.6068
13/11/2024 6:34:32 PM, 12.8713
13/11/2024 6:34:32 PM, 13.4259
13/11/2024 6:34:32 PM, 15.5786
13/11/2024 6:34:32 PM, 13.2885
13/11/2024 6:34:32 PM, 13.6989
13/11/2024 6:34:32 PM, 12.8386
13/11/2024 6:34:32 PM, 15.276
13/11/2024 6:34:32 PM, 13.0662
13/11/2024 6:34:32 PM, 12.5546
13/11/2024 6:34:32 PM, 14.8668
13/11/2024 6:34:32 PM, 12.7995
13/11/2024 6:34:32 PM, 12.6272
13/11/2024 6:34:32 PM, 15.5118
13/11/2024 6:34:32 PM, 12.3833
13/11/2024 6:34:32 PM, 13.8595
13/11/2024 6:34:32 PM, 16.3744
13/11/2024 6:34:32 PM, 20.4296
13/11/2024 6:34:32 PM, 23.0301
13/11/2024 6:34:33 PM, 14.819
13/11/2024 6:34:33 PM, 16.3402
13/11/2024 6:34:33 PM, 16.8309
13/11/2024 6:34:33 PM, 14.7878
13/11/2024 6:34:33 PM, 13.1486
13/11/2024 6:34:33 PM, 17.9984
13/11/2024 6:34:33 PM, 14.1166
13/11/2024 6:34:33 PM, 13.7614
13/11/2024 6:34:33 PM, 18.9208
13/11/2024 6:34:33 PM, 13.7
13/11/2024 6:34:33 PM, 19.3416
13/11/2024 6:34:33 PM, 14.0547
13/11/2024 6:34:33 PM, 13.7389
13/11/2024 6:34:33 PM, 14.6955
13/11/2024 6:34:33 PM, 14.1303
13/11/2024 6:34:33 PM, 13.8542
13/11/2024 6:34:33 PM, 15.2392
13/11/2024 6:34:33 PM, 18.5955
13/11/2024 6:34:33 PM, 14.2735
13/11/2024 6:34:33 PM, 14.0651
13/11/2024 6:34:33 PM, 17.1577
13/11/2024 6:34:33 PM, 13.5427
13/11/2024 6:34:33 PM, 17.7972
13/11/2024 6:34:33 PM, 14.8797
13/11/2024 6:34:33 PM, 13.9514
13/11/2024 6:34:33 PM, 15.1295
13/11/2024 6:34:33 PM, 15.1005
13/11/2024 6:34:33 PM, 18.0659
13/11/2024 6:34:33 PM, 18.5729
13/11/2024 6:34:33 PM, 15.3409
13/11/2024 6:34:33 PM, 15.7006
13/11/2024 6:34:33 PM, 15.3148
13/11/2024 6:34:33 PM, 22.6079
13/11/2024 6:34:33 PM, 14.3556
13/11/2024 6:34:33 PM, 13.932
13/11/2024 6:34:33 PM, 15.777
13/11/2024 6:34:33 PM, 15.1336
13/11/2024 6:34:33 PM, 14.3379
13/11/2024 6:34:33 PM, 17.5736
13/11/2024 6:34:33 PM, 15.199
13/11/2024 6:34:33 PM, 14.9
13/11/2024 6:34:34 PM, 15.2038
13/11/2024 6:34:34 PM, 14.5277
13/11/2024 6:34:34 PM, 22.0027
13/11/2024 6:34:34 PM, 15.5712
13/11/2024 6:34:34 PM, 16.3848
13/11/2024 6:34:34 PM, 17.1496
13/11/2024 6:34:34 PM, 17.5545
13/11/2024 6:34:34 PM, 20.6397
13/11/2024 6:34:34 PM, 17.7931
13/11/2024 6:34:34 PM, 14.838
13/11/2024 6:34:34 PM, 19.6415
13/11/2024 6:34:34 PM, 17.0171
13/11/2024 6:34:34 PM, 20.5256
13/11/2024 6:34:34 PM, 17.0233
13/11/2024 6:34:34 PM, 21.0653
13/11/2024 6:34:34 PM, 22.1525
13/11/2024 6:34:34 PM, 21.9419
13/11/2024 6:34:34 PM, 17.7315
13/11/2024 6:34:34 PM, 16.9078
13/11/2024 6:34:34 PM, 17.92
13/11/2024 6:34:34 PM, 21.1111
13/11/2024 6:34:34 PM, 23.0583
13/11/2024 6:34:34 PM, 18.5355
13/11/2024 6:34:34 PM, 23.0483
13/11/2024 6:34:34 PM, 18.5481
